#prototype data
#example of type 1 data - value associated to points
#$id $val
EGID_1003147 EGID_1003147
EGID_1003148 EGID_1003148
EGID_1003218 EGID_1003218
EGID_1003273 EGID_1003273
EGID_1003274 EGID_1003274
EGID_1003275 EGID_1003275
EGID_1003314 EGID_1003314
EGID_1003315 EGID_1003315
EGID_1003316 EGID_1003316
EGID_1003329 EGID_1003329
EGID_1003330 EGID_1003330
EGID_1003331 EGID_1003331
EGID_1003333 EGID_1003333
EGID_1003334 EGID_1003334
EGID_1003336 EGID_1003336
EGID_1003350 EGID_1003350
EGID_1003351 EGID_1003351
EGID_2034999 EGID_2034999
EGID_2035000 EGID_2035000
EGID_2035008 EGID_2035008
EGID_2749841 EGID_2749841
EGID_295071949 EGID_295071949
EGID_295085429 EGID_295085429
EGID_295085430 EGID_295085430
EGID_295085447 EGID_295085447
EGID_295087339 EGID_295087339
EGID_295087803 EGID_295087803
EGID_295087976 EGID_295087976
EGID_295093773 EGID_295093773
EGID_295094023 EGID_295094023
EGID_1003219 EGID_1003219
EGID_1003528 EGID_1003528
EGID_1003529 EGID_1003529
EGID_1003530 EGID_1003530
EGID_1003531 EGID_1003531
EGID_1003533 EGID_1003533
EGID_2034834 EGID_2034834
EGID_2034851 EGID_2034851
EGID_2034852 EGID_2034852
EGID_295085973 EGID_295085973
EGID_295086500 EGID_295086500
EGID_295087230 EGID_295087230
EGID_295096534 EGID_295096534
EGID_1003217 EGID_1003217
EGID_295102936 EGID_295102936
EGID_295103038 EGID_295103038
EGID_295103040 EGID_295103040
EGID_1003140 EGID_1003140
EGID_1003141 EGID_1003141
EGID_1003270 EGID_1003270
EGID_1003271 EGID_1003271
EGID_1003272 EGID_1003272
EGID_1003276 EGID_1003276
EGID_1003277 EGID_1003277
