#prototype data
#example of type 2 data - value associated to objects
#$id ?value
ID_276003000001240 ID_276003000001240 
ID_276003000001379 ID_276003000001379 
ID_276003000000992 ID_276003000000992 
ID_276003000001000 ID_276003000001000 
ID_276003000000594 ID_276003000000594 
ID_276003000000741 ID_276003000000741 
ID_276003000000768 ID_276003000000768 
ID_276003000000752 ID_276003000000752 
ID_276003000000725 ID_276003000000725 
ID_276003000002982 ID_276003000002982 
ID_276003000000856 ID_276003000000856 
ID_276003000005856 ID_276003000005856 
ID_276003000001194 ID_276003000001194 
ID_276003000004343 ID_276003000004343 
